"objectId","createdAt","updatedAt","userId","activityType","coinChangeAmt","rewardId","pointRewardId","rewardDescription","rewardLongDescription","rewardTotalCountAfterAction","vendorId"
"w0ruw2cZOe","03/12/2013 03:03:31","03/12/2013 03:03:31","gDfwKhYSMs","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","3","KePt2apWWd"
"H2I92yvJow","03/12/2013 03:29:06","03/12/2013 03:29:06","ZaZOjd8lmF","Sign Up","10","","","","","",""
"WreYfP5P7H","03/12/2013 04:16:48","03/12/2013 04:16:48","ZaZOjd8lmF","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","1","KePt2apWWd"
"FT8Ne03E7g","03/12/2013 18:40:24","03/12/2013 18:40:24","dFlbGePEe0","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","4","KePt2apWWd"
"yrupS6rWwd","03/12/2013 18:40:25","03/12/2013 18:40:25","dFlbGePEe0","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","4","KePt2apWWd"
"WGt1lPEn4W","03/12/2013 18:51:15","03/12/2013 18:51:15","sJG2F5n6nZ","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","8","KePt2apWWd"
"bawqsq9p3K","03/12/2013 18:51:18","03/12/2013 18:51:18","sJG2F5n6nZ","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","10","KePt2apWWd"
"1zk4Ko1r1P","03/12/2013 18:52:21","03/12/2013 18:52:21","nPKSpj7gjs","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","9","KePt2apWWd"
"5CEmbd652Q","03/12/2013 18:52:44","03/12/2013 18:52:44","nPKSpj7gjs","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","7","KePt2apWWd"
"wdUhLGKFDq","03/12/2013 18:57:58","03/12/2013 18:57:58","yTkV8VUBqU","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","8","KePt2apWWd"
"FY9UlNEysa","03/12/2013 18:57:59","03/12/2013 18:57:59","yTkV8VUBqU","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","7","KePt2apWWd"
"Y6RmVKcrdn","03/12/2013 19:05:26","03/12/2013 19:05:26","Vsj6TFQJWn","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","4","KePt2apWWd"
"ESDG1OvSlU","03/12/2013 19:05:27","03/12/2013 19:05:27","Vsj6TFQJWn","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","6","KePt2apWWd"
"r8YvexxbTd","03/12/2013 19:06:32","03/12/2013 19:06:32","Or3bwTZPWf","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","1","KePt2apWWd"
"nCBIhvpwfQ","03/12/2013 19:06:38","03/12/2013 19:06:38","Or3bwTZPWf","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","1","KePt2apWWd"
"H8fXoCYtmD","03/12/2013 19:06:59","03/12/2013 19:06:59","Rl4EjL8itI","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","1","KePt2apWWd"
"s44SiRBCW2","03/12/2013 19:07:09","03/12/2013 19:07:09","Rl4EjL8itI","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","4","KePt2apWWd"
"k63Z5XNlPO","03/12/2013 19:07:20","03/12/2013 19:07:20","0P71lvIX6P","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","3","KePt2apWWd"
"WrAQ9jtHSG","03/12/2013 19:07:22","03/12/2013 19:07:22","0P71lvIX6P","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","3","KePt2apWWd"
"isKoVFyn16","03/12/2013 19:07:31","03/12/2013 19:07:31","3PS8HKvB0l","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","2","KePt2apWWd"
"43nsxTnJ5U","03/12/2013 19:07:35","03/12/2013 19:07:35","3PS8HKvB0l","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","5","KePt2apWWd"
"X5EJhR91SF","03/12/2013 19:11:02","03/12/2013 19:11:02","Vsj6TFQJWn","Redeemed Reward","","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","3","KePt2apWWd"
"cNdQuuWpaz","03/12/2013 21:23:45","03/12/2013 21:23:45","32BDJeK2Bo","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","4","KePt2apWWd"
"8zVkuzUpCF","03/12/2013 21:23:50","03/12/2013 21:23:50","32BDJeK2Bo","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","4","KePt2apWWd"
"0PnOYpLG0L","03/12/2013 21:32:17","03/12/2013 21:32:17","gEale56TA6","Sign Up","10","","","","","",""
"jVEdDEMGPB","03/13/2013 02:34:43","03/13/2013 02:34:43","x3jLXdJcfo","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","3","KePt2apWWd"
